"","Num","AGE","GENDER","NegEmot1","NegEmot2","NegEmot3","Egal1","Egal2","Egal3","Ind1","Ind2","Ind3","GovSupport1","GovSupport2","GovSupport3"
"69",109,25,1,6,6,5,3.6,3.8,5.2,4.5,4.5,3,6,4.66666666666667,6
"70",110,24,1,6,4,5,4.2,4.2,5,4,2,5,3,3.33333333333333,3
"71",112,24,1,5,7,7,6.4,6.2,5.9,1.5,2,3.25,6,6.33333333333333,6
"72",113,25,2,6,6,6,6.2,5.4,6.1,1.5,1.5,2.25,6,5.33333333333333,4
"73",114,25,2,5,5,5,3.8,4,4.5,4.5,4.25,3.25,4,3,1
"74",115,24,2,6,4,3,6.2,6.6,5.6,1.75,2.5,3.25,4,3.66666666666667,5
"75",116,24,2,5,6,6,6,6,5.9,1.5,2,4.5,6,6,6
"76",119,23.5714285714286,2,2,6,6,6.2,6.4,5.7,2,5,5.5,7,7,7
"77",123,24,2,5,5,5,4,4.6,4.5,2,2.25,2.5,6,5.66666666666667,4
"78",126,23.5714285714286,2,4,4,4,2.33333333333333,4.75,2,4,4,4,2,3.33333333333333,1
"79",127,24,2,3,4,5,4.8,4.4,5.4,1.75,3.25,4.5,4,4,2
"80",128,24,2,6,7,6,3.6,4.25,4.4,3.25,2.75,3,3,4.66666666666667,4
"81",129,24,2,5,4,4,4.2,5,4,4.5,3.75,3.75,6,6.33333333333333,6
"82",130,24,2,1,2,3,6.75,4.6,5.3,4.25,3.25,4,3,3.66666666666667,1
"83",131,23,2,3,4,3,5.2,5.6,5.1,3.25,3.5,3.5,5,5,4
"84",134,23.5714285714286,2,4,1,3.27272727272727,4.6,2.8,3.7,3.5,3.75,5.25,5,4.66666666666667,3
"85",138,25,2,6,7,7,6,6.6,5.3,3.25,4.25,5,4,3.33333333333333,1
"86",139,23.5714285714286,2,5,6,5,5.2,4.2,5.7,2,2.25,4.75,5,5,4
"87",140,24,2,4,4,4,4,4,4,3.75,3.75,3.75,4,4,5
"88",141,23.5714285714286,2,4,4,4,5.4,5.2,4.7,4,4,4,6,5.66666666666667,7
"89",142,23.5714285714286,2,6,4,4,5.8,4.2,5.1,1.75,2.75,2.5,5,3.66666666666667,2
"90",143,25,2,4,4,4,3.6,4,4.1,3.25,4,3.75,5,4.33333333333333,3
"91",144,26,2,5,5,6,6,6.2,6,1,1,1.25,6,6.33333333333333,7
"92",145,26,2,4,5,4,4.6,4.4,4.3,4,4.25,3.25,5,5.66666666666667,6
"93",146,26,2,1,1,1,2.8,3.4,3.2,3.5,3.25,1.75,1,1.66666666666667,3
"94",147,26,2,5,7,7,5,5,4.8,4.5,5,5,6,5,6
"95",148,25,2,4,4,4,5.8,6.6,5,5.66666666666667,3.25,3,2,3.66666666666667,2
"96",149,26,2,7,7,7,7,6.8,6,6.25,4.5,4.5,7,4.66666666666667,6
"97",150,24,2,6,6,6,4.4,3.6,4.1,2.5,2.5,2.5,3,4.66666666666667,4
"98",151,24,2,5,4,5,2.8,5.2,2.8,3.25,4.75,5,3,4,3
"99",152,25,2,2,3,3,5.2,5.6,4.5,3.25,4.25,5.25,5,5.66666666666667,6
"100",154,24,2,6,6,7,5.6,6,5.8,1.25,1.25,2,7,5,2
"101",155,24,1,4,4,2,4.2,4.6,5.1,4,4.5,4.75,5,5.66666666666667,6
"102",156,24,1,6,5,6,4.8,5.2,4.7,2.75,2,4,5,5,3
"103",157,23,1,3,4,4,3.8,4,5.5,3,3.25,3,2,3.66666666666667,2
"104",158,23,1,4,7,6,5.8,5,5.9,1,1.5,3.25,6,5.66666666666667,5
"105",160,25,1,5,5,7,5.8,6.4,5.1,2.5,3,4.5,7,5,1
"106",161,28,1,5,5,5,4.2,5.4,5.4,3.25,2,3.5,6,5.66666666666667,5
"107",163,27,1,6,6,5,2.6,5,5,1.75,2,3,6,4.66666666666667,3
"108",164,27,1,5,6,6,5.6,6.8,5.5,2.75,2.5,4.75,6,5.66666666666667,5
"109",165,27,1,6,6,7,5.6,5.6,5.6,1.75,1.75,2,6,5.66666666666667,4
"110",167,28,1,7,7,7,5.8,6.6,6.8,2,1.25,2.75,5,4.33333333333333,1
"111",168,28,1,2,2,4,4,4.6,4.7,2.75,3.75,3.5,4,4.66666666666667,4
"112",170,22,1,4,4,3,5.2,3.2,4.5,3.75,4,4,6,5,3
"113",171,28,1,5,5,5,5,5.2,5.3,3.25,3.5,5,4,4.33333333333333,2
"114",172,28,1,3,6,6,6.2,6.8,6.1,4,4,4,4,3.66666666666667,1
"115",173,22,1,6,5,7,6,6,5.5,5,4.66666666666667,3.5,7,6,4
"116",178,23.5714285714286,1,7,5,5,2.6,4.6,6.1,2.25,3.5,2,4,3.66666666666667,1
"117",179,23,1,6,7,7,4.8,5,6.1,1,1.25,3.75,6,6,5
"118",180,23,1,6,6,7,6.4,6.8,6.2,6.75,5.75,6.5,5,5,5
"119",182,24,1,6,3,6,6.2,6.8,6.3,2.25,4.75,3.5,1,4.66666666666667,6
"120",185,24,1,7,7,7,4.4,6.4,5.5,3,3.25,3.5,6,6.33333333333333,6
"121",186,23,1,6,7,7,4.4,6.2,6.1,2.5,2.75,3,7,7,7
"122",187,24,1,7,6,6,6.4,6.6,6.2,1.25,2.66666666666667,1.66666666666667,5,4.33333333333333,2
"123",190,23,1,3,4,3,3.6,5.6,4.2,6.75,5.25,4.5,5,4.72222222222222,5.16666666666667
"124",191,23,1,4,6,4,5.8,6,4.9,4.5,4.5,3,7,5.33333333333333,7
"125",193,24,1,7,7,7,6,6.6,5.9,1.25,1.25,3.5,7,7,7
"126",195,23,1,4,4,5,4,5,5.7,1.75,1.5,1.5,5,5.66666666666667,5
"127",196,26,1,5,5,5,3.6,4.6,5.4,4,4.5,4.5,4,4.66666666666667,4
"128",197,26,1,4,3,6,6,6,6.1,2,2.25,2.25,5,5.33333333333333,4
"129",198,24,1,1,3,6,5.8,5.4,3.9,2.5,4.75,6.25,5,4,2
"130",199,25,1,7,7,7,5.8,6,6.2,1.5,1.75,2.5,5,5.33333333333333,5
"131",200,25,1,6,6,6,3.2,6.2,6.4,1.5,2.5,1,7,6,4
"132",201,25,1,6,6,6,6,5.4,5.8,1.25,2.66666666666667,3.75,5,4.66666666666667,3
"133",202,25,1,5,6,6,5.4,4.6,6,2.75,2.5,2.5,6,5.66666666666667,5
"134",203,25,1,6,6,6,7,5,5.8,2.25,2.25,1.75,6,6,6
"135",204,25,1,5,4,5,4,4.8,5.4,3,3.25,3,4,4.33333333333333,4
"136",205,25,2,4,4,4,5.2,4.6,3.11111111111111,1.5,2.66666666666667,3.5,2.83333333333333,2.61111111111111,3
