ID,Structure,Control,Exhaustion,Disconnection,Gender
195,5.375,1,1.4,1.5,Male
207,6.125,1,1.4,3.333333333,Male
17,3.833333333,4.5,1.2,2.083333333,Female
25,4.75,4.25,1.2,2.5,Female
28,6.125,4.25,1.2,1.75,Female
48,6,3.75,1.2,1,Female
55,5.25,3.5,1.2,3.666666667,Female
87,5.5,3,1.2,5,Female
109,5.5,2.5,1.2,3.083333333,Female
115,6.375,2.5,1.2,1.416666667,Female
125,5.875,2.25,1.2,2.75,Male
132,4.75,2,1.2,1.75,Male
137,5.5,2,1.2,3.333333333,Male
164,6.375,1.75,1.2,1.666666667,Male
165,5,1.666666667,1.2,1.75,Male
167,4.875,1.5,1.2,2,Male
171,5.285714286,1.5,1.2,1.5,Male
203,5.75,1,1.2,1.75,Male
8,5,5.25,1,3.083333333,Female
12,3.25,4.75,1,4.916666667,Female
13,4.125,4.75,1,4,Female
15,5.75,4.75,1,5.5,Female
18,3.875,4.5,1,1,Female
31,3.75,4,1,1.166666667,Female
35,4.375,4,1,4.166666667,Female
42,3.375,3.75,1,2.333333333,Female
45,4.625,3.75,1,1.861111111,Female
49,3.625,3.5,1,1.833333333,Female
59,3.25,3.25,1,4.194444444,Female
69,5.25,3.25,1,2.083333333,Female
71,5.75,3.25,1,1.694444444,Female
77,4.125,3,1,2.416666667,Female
85,5.25,3,1,3.666666667,Female
95,4.75,2.75,1,2.333333333,Female
110,5.75,2.5,1,1,Female
116,6.5,2.5,1,1.25,Female
119,5,2.25,1,1.083333333,Female
120,5.125,2.25,1,3.416666667,Male
129,6.142857143,2.25,1,1,Male
130,6.857142857,2.25,1,2.166666667,Male
131,4.142857143,2,1,1.666666667,Male
133,5.125,2,1,1,Male
144,6,2,1,1,Male
149,4.857142857,1.75,1,3.583333333,Male
166,5.25,1.666666667,1,3.166666667,Male
172,5.285714286,1.5,1,1.583333333,Male
173,5.375,1.5,1,1.5,Male
176,6.375,1.5,1,1.25,Male
177,6.625,1.5,1,1.666666667,Male
178,6.625,1.5,1,1.333333333,Male
185,6.375,1.25,1,1.916666667,Male
190,4.75,1,1,3.888888889,Male
196,5.375,1,1,1.25,Male
201,5.625,1,1,1,Male
204,5.75,1,1,2.25,Male
209,6.625,1,1,1,Male
210,6.625,1,1,1.5,Male
212,7,1,1,4.166666667,Male
213,7,1,1,1,Male
